oa	啊,阿,呵,吖,嗄,腌,锕,醃,錒,
bz	标,彪,膘,表,婊,骠,杓,飑,飙,飚,灬,镖,镳,瘭,裱,鳔,髟,俵,僄,儦,墂,嫑,幖,摽,標,檦,淲,滮,瀌,熛,爂,猋,磦,穮,篻,脿,膔,臕,藨,褾,諘,贆,鋲,錶,鏢,鑣,颩,颮,颷,飆,飇,飈,飊,驃,鰾,麃,
bx	鳖,憋,别,瘪,蹩,別,咇,彆,徶,柭,柲,癟,莂,虌,蛂,蟞,襒,鱉,鼈,龞,
bc	彬,斌,濒,滨,宾,摈,份,频,傧,豳,缤,玢,槟,殡,膑,镔,髌,鬓,儐,擯,梹,椕,檳,殯,氞,汃,濱,濵,瀕,瑸,璸,砏,繽,臏,虨,蠙,賓,賔,邠,鑌,霦,頻,顮,髕,髩,鬂,鬢,
by	兵,冰,柄,丙,秉,饼,炳,病,并,屏,禀,冫,邴,摒,绠,枋,槟,疒,並,仌,仒,併,倂,偋,傡,垪,寎,屛,幷,庰,怲,抦,掤,昺,栟,栤,梹,棅,檳,氷,燷,琕,眪,稟,窉,竝,絣,綆,苪,蛃,誁,鈵,鋲,陃,靐,鞆,鞞,鞸,餅,餠,鮩,
bo	柏,般,剥,薄,玻,菠,播,拨,钵,波,博,勃,搏,铂,箔,伯,帛,舶,脖,膊,渤,泊,驳,卜,簿,佛,魄,孛,亳,蕃,擗,啵,饽,檗,擘,礴,钹,鹁,簸,趵,跛,踣,鲅,仢,侼,僠,僰,剝,哱,噃,嚗,壆,妭,孹,嶓,彴,愽,懪,挬,撥,柭,栢,桲,榑,檘,欂,殕,浡,溊,煿,牔,犦,狛,猼,瓝,瓟,癶,癷,皪,盋,砵,磻,礡,秡,穛,箥,簙,糪,紴,缽,肑,胉,艊,苩,萡,葧,蔔,蘗,蚾,袯,袰,袹,襮,詙,誖,謈,譒,蹳,郣,鈸,鉑,鉢,鋍,鎛,鑮,镈,餑,餺,馎,馛,駁,駮,驋,髉,鮁,鮊,鱍,鲌,鵓,
bu	堡,捕,卜,哺,补,埠,不,布,步,簿,部,怖,埔,卟,逋,瓿,晡,钚,钸,醭,佈,勏,咘,埗,婄,峬,庯,廍,悑,抪,捗,捬,柨,歨,歩,箁,篰,蔀,蔔,補,誧,踄,轐,鈈,鈽,錻,餔,餢,鯆,鳪,鸔,
bn	兺,
ca	擦,拆,嚓,礤,攃,礸,遪,
cl	猜,裁,材,才,财,睬,踩,采,彩,菜,蔡,乲,倸,偲,埰,婇,宷,寀,戝,扐,採,揌,棌,毝,綵,縩,財,跴,
cj	餐,参,蚕,残,惭,惨,灿,掺,孱,骖,璨,粲,黪,儏,參,叄,叅,喰,嘇,噆,囋,嬠,慘,慙,慚,憯,摲,摻,朁,殘,湌,澯,燦,爘,穇,篸,薒,蝅,蠶,蠺,謲,鏒,飡,飱,驂,黲,,
ch	苍,舱,仓,沧,藏,伧,臧,傖,凔,匨,嵢,欌,滄,濸,獊,玱,瑲,篬,罉,艙,蒼,螥,賶,鑶,鶬,
ck	操,糙,槽,曹,草,艹,嘈,漕,屮,螬,艚,傮,嶆,愺,慅,慒,懆,撡,曺,肏,艸,蓸,褿,襙,鏪,騲,
ce	厕,策,侧,册,测,栅,恻,側,冊,厠,墄,夨,廁,惻,憡,拺,敇,測,畟,筞,筴,箣,簎,粣,荝,萗,萴,蓛,
cf	参,岑,涔,參,叅,埁,嵾,梣,汵,穇,笒,篸,膥,
cg	层,蹭,曾,噌,乽,層,岾,曽,橧,猠,硳,竲,驓,
ea	插,叉,茬,茶,查,碴,搽,察,岔,差,诧,刹,喳,苴,茌,咤,嚓,猹,馇,汊,姹,杈,楂,槎,檫,锸,镲,衩,仛,侘,偛,剎,嗏,垞,奼,嵖,扠,扱,捈,摖,査,梌,疀,秅,紁,肞,臿,艖,芆,詫,銟,鍤,鑔,靫,餷,
el	差,拆,柴,豺,侪,钗,瘥,虿,儕,喍,囆,犲,祡,肞,芆,茝,蠆,袃,訍,釵,
